SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.2100, 21, 0.0391, 0.9472, 0.3593, -0.8821, -12.0722, -1.7165, 53.5821, 40.4478, -9.5000, -109.8582, 1.9051, 80.7434, 0.4289, 0.6296, 0.5228, -0.3825, 0.0058, 0.0072, 0.0198, 1005.4100, 0.0000, 0.0000, 0.0000
2, 0.2798, 28, -0.9426, 0.3532, -0.1397, 4.2582, 4.4666, 24.3005, -37.7612, 41.6418, 16.3333, -70.8091, -69.1057, 81.6364, -0.7228, -0.0589, -0.6617, 0.1901, -0.0084, 0.0164, -0.0224, 1003.5700, 0.0000, 0.0000, 0.0000
1, 0.2200, 22, 0.0332, 0.9550, 0.3654, 0.3326, -10.7956, -0.7806, 53.7313, 39.4030, -10.1667, -109.8662, 1.9300, 80.8600, 0.4283, 0.6292, 0.5234, -0.3830, -0.0005, 0.0150, 0.0257, 1005.4100, 0.0000, 0.0000, 0.0000
1, 0.2300, 23, 0.0234, 0.9609, 0.3572, 1.7133, -11.7112, -0.5652, 56.1194, 38.6567, -9.6667, -109.8591, 1.9485, 80.9810, 0.4279, 0.6287, 0.5239, -0.3836, -0.0106, 0.0209, 0.0177, 1005.4100, 0.0000, 0.0000, 0.0000
2, 0.2898, 29, -0.9448, 0.3688, -0.1236, 4.2262, 4.8187, 25.8431, -37.4627, 42.2388, 16.1667, -70.8622, -68.8465, 81.7438, -0.7227, -0.0602, -0.6612, 0.1920, -0.0122, 0.0279, -0.0053, 1003.5700, 0.0000, 0.0000, 0.0000
1, 0.2400, 24, 0.0077, 0.9667, 0.3571, 1.9809, -11.5711, -0.2098, 53.5821, 38.5075, -9.6667, -109.8364, 1.9715, 81.0959, 0.4275, 0.6282, 0.5244, -0.3843, -0.0267, 0.0266, 0.0179, 1005.4100, 0.0000, 0.0000, 0.0000
2, 0.2998, 30, -0.9389, 0.3728, -0.1254, 3.9439, 4.9619, 25.8346, -35.5224, 41.6418, 16.1667, -70.9280, -68.5808, 81.8618, -0.7225, -0.0615, -0.6607, 0.1939, -0.0080, 0.0277, -0.0061, 1003.5700, 0.0000, 0.0000, 0.0000
1, 0.2500, 25, 0.0155, 0.9648, 0.3571, 0.8883, -11.4307, -0.7811, 54.4776, 40.2985, -10.0000, -109.8230, 1.9953, 81.2163, 0.4271, 0.6276, 0.5249, -0.3849, -0.0193, 0.0246, 0.0182, 1005.4100, 0.0000, 0.0000, 0.0000
2, 0.3098, 31, -0.9349, 0.3630, -0.1235, 4.0703, 5.2454, 26.4051, -39.2537, 42.2388, 16.1667, -70.9955, -68.3120, 81.9807, -0.7224, -0.0629, -0.6602, 0.1958, -0.0056, 0.0136, -0.0031, 1003.5700, 0.0000, 0.0000, 0.0000
2, 0.3198, 32, -0.9468, 0.3669, -0.1177, 3.1675, 4.8193, 26.2170, -35.5224, 41.3433, 16.3333, -71.0596, -68.0447, 82.0944, -0.7222, -0.0642, -0.6597, 0.1977, -0.0193, 0.0132, 0.0036, 1003.5700, 0.0000, 0.0000, 0.0000
